geometry,OBJECTID,TAGID,CNAME1,CNAME2,CNAME3,GENUS,SPECIES,CULTIVAR,DIAMETER,DBHHEIGHT,NUMTRUNK,HEIGHT,TRUNKHEIGHT,CRADAVG,Latitude,Longitude,Long,longitude,latitude
POINT (-76.9410561 38.9839626),14132,0,Laurel,Mountain,Sarah,Kalmia,latifolia,Sarah,0,4.5,1,2.5,0,1,,,,-76.9410561,38.9839626
POINT (-76.9398399 38.9897443),14133,0,Cherry,Sargent,Columnaris,Prunus,sargentii,Columnaris,0,4.5,1,12,4,3,,,,-76.9398399,38.9897443
POINT (-76.9514091 38.99216),14134,3465,Holly,Hybrid,,Ilex,x,,0,4.5,2,12,0,4,,,,-76.9514091,38.99216
POINT (-76.9495447 38.9916593),14135,0,Cherry,Ornamental,Okame,Prunus,x incamp,Okame,3.8,4.5,1,0,0,1.7,,,,-76.9495447,38.9916593
POINT (-76.9413991 38.9907319),14136,0,Abelia,Glossy,,Abelia,x grandiflora,Sunrise,0,0,0,0,0,0,,,,-76.9413991,38.9907319
POINT (-76.9527343 38.9887325),14137,0,Hydrangea,Oakleaf,,Hydrangea,quercifolia,,0,4.5,1,0,0,0,,,,-76.9527343,38.9887325
POINT (-76.9412605 38.9903553),14138,0,Birch,River,Duraheat,Betula,nigra,Duraheat,0,0,0,18,0,0,,,,-76.9412605,38.9903553
POINT (-76.9471468 38.9920623),14139,0,Deutzia,Dwarf,,Deutzia,gracilis,,0,0,0,0,0,0,,,,-76.9471468,38.9920623
POINT (-76.9493079 38.9920079),14140,0,Yew,English,,Taxus,baccata,Densiformis,0,4.5,1,2,0,1,,,,-76.9493079,38.9920079
POINT (-76.947127 38.9920759),14141,0,Deutzia,Dwarf,,Deutzia,gracilis,,0,0,0,0,0,0,,,,-76.947127,38.9920759
POINT (-76.9408873 38.9978856),14142,0,Cherry,Yoshino,,Prunus,x yedoensis,,3.3,4.5,1,0,0,0,,,,-76.9408873,38.9978856
POINT (-76.9414442 38.9907655),14143,0,,,,Rhododendron,x,,0,0,0,0,0,0,,,,-76.9414442,38.9907655
POINT (-76.9405312 38.9854105),14144,141,Oak,Willow,,Quercus,phellos,,37.7,4.5,1,69,12,34,,,,-76.9405312,38.9854105
POINT (-76.9481758 38.9928572),14145,2457,Tulip Tree,American,,Liriodendron,tulipifera,,30.2,4.5,1,95,4,18.5,,,,-76.9481758,38.9928572
POINT (-76.9410599 38.9839116),14146,0,Viburnum,Cranberrybush,Nanum,Viburnum,opulus,Nanum,0,4.5,1,1.5,0,0.5,,,,-76.9410599,38.9839116
POINT (-76.9492143 38.9927679),14147,0,Sumac,Fragrant,Gro-Low,Rhus,aromatica,Gro-Low,0,4.5,1,0,0,0,,,,-76.9492143,38.9927679
POINT (-76.948119 38.9935078),14148,0,Acalypha,Wilkes',,Acalypha,wilkesiana,,0,4.5,1,0,0,0,,,,-76.948119,38.9935078
POINT (-76.9493175 38.9895193),14149,0,Planetree,London,,Platanus,x acerifolia,,2.7,4.5,1,0,0,0,,,,-76.9493175,38.9895193
POINT (-76.9518646 38.9886291),14150,0,Holly,Hybrid,Foster,Ilex,x attenuata,Fosteri,3,4.5,2,11,0,2.6,,,,-76.9518646,38.9886291
POINT (-76.9488587 38.9894833),14151,0,Hawthorn,English,Crimson Cloud,Crataegus,laevigata,Crimson Cloud,3.4,4.5,1,0,0,0,,,,-76.9488587,38.9894833
POINT (-76.9482896 38.9920436),14152,0,azalea,,,Rhododendron,,Mrs. Villands,0,4.5,1,1,0,1,,,,-76.9482896,38.9920436
POINT (-76.9440649 38.9865349),14153,934,Oak,Willow,,Quercus,phellos,,14.8,4.5,1,36,10,19.4,,,,-76.9440649,38.9865349
POINT (-76.9404846 38.9897305),14154,2054,Ginkgo,Biloba,,Ginkgo,biloba,,8.4,4.5,1,36,6,8,,,,-76.9404846,38.9897305
POINT (-76.9511934 38.9915769),14155,3608,Birch,River,,Betula,nigra,,0,4.5,3,10,0,4,,,,-76.9511934,38.9915769
POINT (-76.9421227 38.9896007),14156,3380,Oak,Pin,,Quercus,palustris,,15.6,4.5,1,46,5,18.2,,,,-76.9421227,38.9896007
POINT (-76.9476097 38.9928362),14157,0,Deutzia,Dwarf,Nikko,Deutzia,gracilis,,0,4.5,1,0,0,0,,,,-76.9476097,38.9928362
